Nation,Province,City,District,District URL
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/mulyorejo_g5002569/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Rungkut,https://www.olx.co.id/rungkut_g5002572/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Gubeng,https://www.olx.co.id/gubeng_g5002562/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Citraland,https://www.olx.co.id/citraland_g5007154/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/sukolilo_g5002577/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Wiyung,https://www.olx.co.id/wiyung_g5002583/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Wiyung,https://www.olx.co.id/wiyung_g5002583/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Pakuwon,https://www.olx.co.id/pakuwon_g5007127/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Tegalsari,https://www.olx.co.id/tegalsari_g5002581/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Tenggilis Mejoyo,https://www.olx.co.id/tenggilis-mejoyo_g5002582/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Dukuh Pakis,https://www.olx.co.id/dukuh-pakis_g5002559/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Gununganyar,https://www.olx.co.id/gununganyar_g5002563/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Sambikerep,https://www.olx.co.id/sambikerep_g5002573/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/kenjeran_g5002566/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Sukomanunggal,https://www.olx.co.id/sukomanunggal_g5002578/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Lakarsantri,https://www.olx.co.id/lakarsantri_g5002568/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Wonocolo,https://www.olx.co.id/wonocolo_g5002584/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Gayungan,https://www.olx.co.id/gayungan_g5002560/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Wonokromo,https://www.olx.co.id/wonokromo_g5002585/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Graha,https://www.olx.co.id/graha_g5007139/dijual-rumah-apartemen_c5158
Indonesia,Jawa Timur,Surabaya Kota,Tandes,https://www.olx.co.id/tandes_g5002580/dijual-rumah-apartemen_c5158
