Nation,Province,City,District,Listing URL
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-siap-huni-di-dharmahusada-indah-barat-iid-931711448
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-1lantai-dan-2lantai-rungkut-surabaya-dekat-merr-di-park-sunrise-iid-925083211
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-kantor-lokasi-strategis-tengah-kota-langka-di-seruni-surabaya-iid-931910572
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/murah-poll-asli-keren-dan-laris-rumah-kost-14kamar-iid-916682766
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-graha-sukolilo-regency-dekat-kampus-its-hang-tuah-codedndgk-iid-932387273
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/siap-pakai-komersial-jl-kapuas-dkt-darmo-diponegoro-tunjungan-kartini-iid-927295903
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-graha-sukolilo-regency-dekat-kampus-its-hang-tuah-code-dnd-iid-932386893
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/mulyosari-2lt-baru-gress-lebar-8-jarang-ada-iid-932386852
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/jual-rumah-baru-gress-minimalis-wisma-permai-surabaya-timur-ready-aprl-iid-932386322
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-san-diego-pakuwon-city-minimalis-siap-huni-murah-iid-932386196
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-wisma-permai-new-minimalis-row-25-jalan-mobil-iid-932386129
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/dijual-rumah-baru-eastern-park-daerah-sukolilo-iid-932386042
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/jual-rumah-25-lt-kuwukan-lontar-iid-929042746
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/jual-rumah-2-lt-jelidro-sambikerep-iid-929042057
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/jual-rumah-baru-2-lt-jelidro-lapangan-barat-iid-930709036
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/dijual-rumah-royal-residence-furnished-mewah-dekat-citraland-graha-iid-930712972
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/dijual-rumah-minimalis-baru-2-lantai-manyar-dekat-galaxy-mall-iid-926876245
