title,best_persona_match,match_score,type,land_area,building_area,bedrooms,bathrooms,floors,address_city,SCHOOL,HOSPITAL,TRANSPORT,MARKET,MALL
Premier Promenade Tipe Lavender,Pasangan Bekerja dengan Anak,0.2,Rumah,140.0,140.0,4.0,3.0,2.0,Depok Kota,1,1,1,0,1
"Cuma 165 jt , bayar 3x , surat SHM",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Rumah Baru Baru,Pasangan Bekerja tanpa Anak,1.0,Rumah,70.0,50.0,2.0,2.0,1.0,Depok Kota,0,0,0,0,0
RUMAH DUA LANTAI MURAH,Pasangan Bekerja dengan Anak,0.4,Rumah,72.0,144.0,3.0,3.0,2.0,Depok Kota,1,0,0,0,0
"pangeran residence 5 menit stasiun Depok,promo harga potongan 15%",Pasangan Bekerja tanpa Anak,0.6,Rumah,50.0,36.0,3.0,1.0,2.0,Depok Kota,1,1,1,0,1
RUMAH SIAP HUNI DICINANGKA SAWANGAN DEPOK,Pasangan Bekerja tanpa Anak,0.6,Rumah,67.0,54.0,3.0,1.0,1.0,Depok Kota,0,0,0,0,0
rumah murah lokasi strategis akses mobil di bojong gede,Pasangan Bekerja tanpa Anak,0.8,Rumah,50.0,36.0,2.0,1.0,1.0,Depok Kota,0,1,1,1,1
Rumah Muslim di Cinangka Depok Dekat Pondok Cabe Harga 755 Juta KPRS,Pasangan Bekerja tanpa Anak,0.8,Rumah,50.0,70.0,3.0,2.0,2.0,Depok Kota,0,1,1,0,1
Rumah Modern Free Renov Dekat Pitnu Toll Limo 1 Hadap Timur J-24394,Pasangan Bekerja dengan Anak,0.6,Rumah,66.0,77.0,3.0,2.0,1.0,Depok Kota,1,1,1,1,1
"RUMAH USAHA UTK PENSIUNAN, ADA 2 TOKO BESAR",Pasangan Bekerja dengan Anak,0.2,Rumah,143.0,120.0,4.0,3.0,1.0,Depok Kota,1,0,0,1,0
Rumah di Depok bebas banjir dekat stasiun,Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Dijual cepat Rumah dekat tol sawangan,Pasangan Bekerja tanpa Anak,0.8,Rumah,60.0,40.0,2.0,1.0,1.0,Depok Kota,1,0,1,0,1
Rumah 2 Lt Semi Furnish 10 Menit ke RS Brawijaya Sawangan SHM J-14593,Pasangan Bekerja dengan Anak,0.6,Rumah,128.0,81.0,3.0,2.0,2.0,Depok Kota,1,1,1,1,0
Termurah Rumah Mezzanine di Citayam Lokasi Startegis,Pasangan Bekerja tanpa Anak,0.6,Rumah,60.0,62.0,3.0,1.0,2.0,Depok Kota,0,1,1,0,0
Jual Cepat Cluster Citronella Pesona Sawangan Residence SHM Dekat Tol,Pasangan Bekerja tanpa Anak,0.6,Rumah,72.0,45.0,2.0,1.0,1.0,Depok Kota,1,1,1,0,0
pangeran residence lokasi strategis potongan harga 15%,Pasangan Bekerja tanpa Anak,0.6,Rumah,50.0,36.0,3.0,1.0,2.0,Depok Kota,1,1,1,0,1
oh sayang diskon 15% potongan harga 5 menit ke stasiun Depok lama,Pasangan Bekerja tanpa Anak,0.6,Rumah,50.0,35.0,3.0,1.0,2.0,Depok Kota,1,1,1,0,1
"Cuma 165 jt , surat shm",Pasangan Bekerja tanpa Anak,0.6,Rumah,25.0,21.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
rumah megangin potongan diskon harga 15% dekat stasiun depok lama,Pasangan Bekerja tanpa Anak,0.6,Rumah,50.0,36.0,3.0,1.0,2.0,Depok Kota,1,1,1,0,1
Rumah cantik Angsuran ringan,Pasangan Bekerja tanpa Anak,0.8,Rumah,52.0,36.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
Jual rumah pribadi,Pasangan Bekerja tanpa Anak,0.8,Rumah,42.0,42.0,2.0,1.0,1.0,Depok Kota,0,0,0,0,0
Hanya 3 menit ke stasiun,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
3 menit ke stasiun depok,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
3 menit ke stasiun,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
3 menit ke stasiun Depok,Pasangan Bekerja tanpa Anak,0.8,Rumah,40.0,30.0,2.0,1.0,1.0,Depok Kota,1,1,1,1,1
Shila at Sawangan Cluster The Grove Terrace Luxe,Pasangan Bekerja dengan Anak,0.6,Rumah,88.0,81.0,3.0,2.0,2.0,Depok Kota,0,0,0,0,0
Rumah Asri di Depok 25 Menit ke Stasiun Pondok Cina Siap KPR J-24177,Pasangan Bekerja dengan Anak,0.4,Rumah,72.0,53.0,3.0,1.0,1.0,Depok Kota,1,1,1,1,1
