title,best_persona_match,match_score,all_scores,type,land_area,building_area,bedrooms,bathrooms,floors,SCHOOL,HOSPITAL,TRANSPORT,MARKET,MALL
Premier Promenade Tipe Lavender,Pasangan Bekerja dengan Anak,0.2,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.2, 'Individu Lajang': 0.0}",Rumah,140.0,140.0,4,3,2.0,1,1,1,0,1
"Cuma 165 jt , bayar 3x , surat SHM",Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,25.0,21.0,2,1,1.0,1,1,1,1,1
Rumah Baru Baru,Pasangan Bekerja tanpa Anak,1.0,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 1.0, 'Individu Lajang': 0.6}",Rumah,70.0,50.0,2,2,1.0,0,0,0,0,0
RUMAH DUA LANTAI MURAH,Pasangan Bekerja dengan Anak,0.4,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.2, 'Individu Lajang': 0.0}",Rumah,72.0,144.0,3,3,2.0,1,0,0,0,0
"pangeran residence 5 menit stasiun Depok,promo harga potongan 15%",Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.6}",Rumah,50.0,36.0,3,1,2.0,1,1,1,0,1
RUMAH SIAP HUNI DICINANGKA SAWANGAN DEPOK,Pasangan Bekerja tanpa Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.4, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.2}",Rumah,67.0,54.0,3,1,1.0,0,0,0,0,0
rumah murah lokasi strategis akses mobil di bojong gede,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.8}",Rumah,50.0,36.0,2,1,1.0,0,1,1,1,1
Rumah Muslim di Cinangka Depok Dekat Pondok Cabe Harga 755 Juta KPRS,Pasangan Bekerja tanpa Anak,0.8,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.8, 'Individu Lajang': 0.4}",Rumah,50.0,70.0,3,2,2.0,0,1,1,0,1
Rumah Modern Free Renov Dekat Pitnu Toll Limo 1 Hadap Timur J-24394,Pasangan Bekerja dengan Anak,0.6,"{'Pasangan Bekerja dengan Anak': 0.6, 'Pasangan Bekerja tanpa Anak': 0.6, 'Individu Lajang': 0.2}",Rumah,66.0,77.0,3,2,1.0,1,1,1,1,1
"RUMAH USAHA UTK PENSIUNAN, ADA 2 TOKO BESAR",Pasangan Bekerja dengan Anak,0.2,"{'Pasangan Bekerja dengan Anak': 0.2, 'Pasangan Bekerja tanpa Anak': 0.2, 'Individu Lajang': 0.0}",Rumah,143.0,120.0,4,3,1.0,1,0,0,1,0
