title,description,similarity_score
RUMAH 2 LANTAI MURAH SIAP HUNI,"['for sale', 'rumah 2 lantai', 'luas tanah : 206m²', 'luas bangunan : 160m²', 'surat : shm', 'detail rumah :', '- 5 kamar tidur', '- 3 kamar mandi', '- 2 + 1 carport', '- high ceiling', '- taman depan', '- taman dalam', '- listrik 2200 watt', '- air pdam', '- pintu & kusen : kayu meranti', '- dinding : hebbel & bata merah', '- rangka : baja ringan', 'fasilitas umum & akses :', '- 3 menit dari jalan raya bomang', '- 6 menit dari sman 1 tajurhalang', '- 7 menit dari rs duafa', '- 11 menit dari rs sentosa', '- 14 menit dari sekolah madania', '- 16 menit dari pasar parung', '- 17 menit dari stasiun bojonggede', '- 18 menit dari pintu tol borr', 'harga : 900 juta']",0.3175124779012052
Palem Hijau batu gede,"['hunian di dekat stasiun bojong gede dan stasiun cilebut,sisa 7 unit lagi bisa kpr dan cash.']",0.2830197147274318
"Jual rumah bangunan dari bata merah, kusen kayu kamper kalimantan open","['dijual rumah siap huni dengan fasilitas :', 'ruang tamu', 'ruang keluarga', 'teras', 'dapur', '3 kamar tidur', 'kamar mandi', 'carpot', 'gudang', 'pdam', 'listrik 900watt (pascabayar)', 'sertifikat shm', '2 menit dari pasar', '3 menit dari rumah sakit', '2 menit dari puskesmas', '2 menit dari sekolah', '5 menit dari pintu tol', 'no perantara']",0.25669221719802576
Dijual Rumah Siap KPR di Cikeas Country Residence Harga Nego J-20778,"['jual cepat rumah minimalis seken, siap huni, bebas banjir, lokasi strategis dekat dengan fasilitas umum yang mudah diakses, sirkulasi udara baik yang nyaman dan aman untuk keluarga, harga siap nego, bisa kpr', '- menerima kpr/cash', '- menyediakan full furniture (sesuai permintaan customer)', 'shm', 'lt 84', 'lb 70', '1 lantai', '2 kamar tidur', '1 kamar pembantu', '1 kamar mandi', 'listrik 2200 va', 'sumber air pdam', 'hadap barat', 'rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.', 'fasilitas sekitar hunian:', '5 menit ke sdn 04 dan sdn 06 bojonggede', '5 menit ke muhammadiyah bojonggede', '5 menit ke sd it nahwa nur', '10 menit ke smp negeri cibinong 2', '10 menit ke pondok pesantren tahfidz tanbihul ghofilin cibinong', '10 menit ke smkn 1 bojonggede bogor', '10 menit ke smk mechanical cibinong', '15 menit ke sd salman alfarisi', '6 menit ke pasar tebet barat', '15 menit ke giant ekspres di cibinong square', '15 menit ke cibinong city mall', '20 menit ke pasar modern cibinong', '6 menit ke rs mmc', '5 menit ke klinik poskedim sukahati', '15 menit ke rsud cibinong', '10 menit ke stasiun bojonggede', '15 menit ke stasiun cilebut', '20 menit dari gerbang tol cibinong', '20 menit dari gerbang tol citeureup', 'hubungi sekarang juga untuk konsultasi dan survey rumahnya', '(silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)']",0.24355293160982586
"Dijual Rumah di Kalisuren, Bogor","['rumah milik pribadi, shm, kondisi baik dan terawat, masih dihuni. lokasi di kompleks perumahan, depan taman utama. komplek perumahannya dekat jalan raya kalisuren (ke dalamnya tidak perlu naik angkot lagi). soal harga masih bisa dibicarakan. ukuran luas dalam m2.', 'fasilitas : jet pump', '15 menit dari stasiun krl bojonggede', '15 menit dari rsud depok', '30 menit dari kota bogor', '30 menit dari kota tangerang selatan', '20 menit dari stadion pakansari']",0.23773737094970537
Over Kredit DP 39JT Tajur halang bogor dkt stasiun @ samudera arya,"['over kredit rumah cicilan kpr', 'tajurhalang, bogor', 'luas 36/84 m2', '2 kamar tidur', '1 kamar mandi', '* dp 35 juta (belum biaya notaris)', '* suku bunga saat ini 13,25%', '* sisa tenor angsuran 19 tahun-an', '* sisa utang pokok kredit 232 jt', 'sedang ada keringanan cicilan dari btn', '* cicilan saat ini 140 rb s/d september 2024', '* mulai oktober 2024 cicilan normal kembali', '3,49 jt-an', 'lokasi :', 'perumahan samudera arya residence', 'akses point strategis', 'dekat stasiun krl bojonggede, rencana tol', 'bojonggede-kemang', '- - - - - - - - - - - - - - - - - -', 'hanya bayar dp lalu meneruskan cicilan dari', 'debitur pertama', 'tanpa bi checking', 'syarat proses over kredit:', 'ready ktp, npwp, uang dp dan sanggup cicilan', 'per bulan', 'langsung serah terima rumah setelah ttd ppjb', 'notaris dan lunas dp', 'info survey hubungi', 'zonira property', '0857 1698 1705']",0.23643393817136146
Over Kredit - Tenjo City,"['over kredit rumah tenjo city. dekat stasiun krl tenjo. hanya cukup mengganti uang dp dan cicilan yang sudah disetor dan selanjutnya sisa cicilan silahkan dilanjutkan sebesar 2,4 juta per bulan (flat sampai lunas). sisa cicilan 140 bulan lagi. nego tipis hayuk aja..']",0.23258363211424088
Di jual rumah 2 lantai,"['di jual rumah 2 lantai 11 menit ke tol sawangan 15 menit ke stasiun depok baru 16 menit stasiun depok lama masuk mobil, surat shm']",0.22894030892603123
Posisinya Di Depan - Unit Siap Huni,"['siap huni type 45/60', 'pembelian cash dan cash bertahap atau mau cicilan ?', 'unit berbagai type dan harga', 'type 45/60', 'terdiri dari :', '2 kamar tidur', '1 kamar mandi', 'ruang tamu', 'ruang keluarga', 'dapur', 'teras', 'taman', 'carport', 'legalitas:', 'shm (sertipikat hak milik)', 'harga jual sudah termasuk biaya surat balik nama dan notaris.', 'alamat:', '-jalan pitara raya', '-kelurahan rangkapan jaya', '-kecamatan pancoran mas', '- kota depok', 'dekat dari mall dtc  ( 3 menit )', 'dekat dari pintu tol sawangan ( 5 menit )', 'dekat dari stasiun ( 15 menit )', 'dekat dari sarana pendidikan ( 2 menit )', 'dekat dari sarana ibadah (jalan kaki)', 'dekat dari klinik & rs ( 3 menit )', '- jelasnya bisa di survei -', 'bebas banjir, air bersih, strategis, harga terjangkau.', 'sudah ada securitynya lohh.. !']",0.22850168834542958
Rumah Siap Huni Dekat Stasiun Cilebut SHM Nego,"['perumahan nuansa alam cilebut (j-18395)', 'deskripsi:', 'shm', 'lt 87', 'lb 45', 'kt 2', 'km 1', 'jumlah lantai 1', 'sumber air tanah', 'listrik 1.300 va', 'hadap timur', '5 menit ke stasiun cilebut', '32 menit ke stasiun bogor', '37 menit ke stasiun cibinong']",0.22695903374404996
