profile_target,level,type,land_area,building_area,bedrooms,bathrooms,floors,HOSPITAL,SCHOOL,MARKET,MALL,TRANSPORT,facilities,predicted_persona,matching_score
Individu Lajang,50%,apartemen,0,104,3,3,2,1,1,1,1,1,"AC,CARPORT",Pasangan Bekerja dengan Anak,3.38
Individu Lajang,100%,apartemen,0,43,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,149,3,2,3,1,1,1,1,1,"AC,OVEN",Pasangan Bekerja dengan Anak,3.22
Individu Lajang,100%,apartemen,0,70,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,110,3,2,3,1,1,1,1,1,"AC,OVEN",Pasangan Bekerja dengan Anak,3.22
Individu Lajang,100%,apartemen,0,41,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,50%,apartemen,0,109,3,2,2,0,1,0,1,1,"AC,OVEN",Pasangan Bekerja dengan Anak,3.28
Individu Lajang,75%,apartemen,0,75,2,1,2,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,GARDEN",Individu Lajang,3.4463
Individu Lajang,100%,apartemen,0,48,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,75%,apartemen,0,87,2,2,2,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Pasangan Bekerja tanpa Anak,3.524
Individu Lajang,75%,apartemen,0,74,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.7853
Individu Lajang,75%,apartemen,0,98,1,1,2,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.892
Individu Lajang,25%,apartemen,0,159,3,2,2,0,0,0,0,0,"GARASI,WATER HEATER",Pasangan Bekerja dengan Anak,2.94
Individu Lajang,25%,apartemen,0,184,4,3,4,0,0,0,0,0,"GARASI,GORDYN",Pasangan Bekerja dengan Anak,2.46
Individu Lajang,50%,apartemen,0,147,3,2,3,0,1,1,1,1,"AC,STOVE",Pasangan Bekerja dengan Anak,3.04
Individu Lajang,100%,apartemen,0,49,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,100%,apartemen,0,44,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,25%,apartemen,0,191,4,3,4,0,0,0,0,0,"GARASI,GARDEN",Pasangan Bekerja dengan Anak,2.46
Individu Lajang,75%,apartemen,0,95,1,1,2,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,GARDEN",Individu Lajang,3.9263
Individu Lajang,25%,apartemen,0,178,3,2,3,0,0,0,0,0,"GARASI,MICROWAVE",Pasangan Bekerja dengan Anak,2.62
Individu Lajang,75%,apartemen,0,91,2,2,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,GARDEN",Individu Lajang,3.4463
Individu Lajang,25%,apartemen,0,175,4,4,4,0,0,0,0,0,"GARASI,MICROWAVE",Pasangan Bekerja dengan Anak,2.46
Individu Lajang,75%,apartemen,0,73,2,2,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.412
Individu Lajang,100%,apartemen,0,42,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,100%,apartemen,0,45,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,100%,apartemen,0,70,1,1,1,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,PAM",Individu Lajang,3.8387
Individu Lajang,25%,apartemen,0,173,5,3,4,0,0,0,0,0,"GARASI,GORDYN",Pasangan Bekerja dengan Anak,2.46
Individu Lajang,50%,apartemen,0,136,3,3,2,0,1,0,1,1,"AC,OVEN",Pasangan Bekerja dengan Anak,3.12
Individu Lajang,75%,apartemen,0,86,1,1,2,1,1,1,1,1,"AC,STOVE,REFRIGERATOR,GARDEN",Individu Lajang,3.9263
Individu Lajang,50%,apartemen,0,126,3,2,3,0,1,1,1,1,"AC,CARPORT",Pasangan Bekerja dengan Anak,3.04
