ad_id,title,price,lat,lon,Provinsi,Kota/kabupaten,Kecamatan,Luas_bangunan,Luas_tanah,Kamar_tidur,Kamar_Mandi,parameter-external_source_url,Tipe,Fasilitas,Lantai,description
944679563,Dijual Rumah Luas Strategis Dekat Stasiun Bebas Banjir Pasar Minggu,11900000000.0,-6.259,106.837,Jakarta D.K.I.,Jakarta Selatan,Pancoran,200,395,6,2,https://www.lamudi.co.id/properti/41032-73-dca202d775b8-b56a-19daa4d-a1e3-7204?i=APz6mbM,rumah,garasi,1,"DIJUAL Rumah Luas & Strategis – Dekat Stasiun & Bebas Banjir Pasar Minggu Harganya buat 11,9M (nego)  Deskripsi Singkat: Rumah dengan tanah luas dan akses kendaraan yang sangat mudah di area Jakarta Selatan. Memiliki sirkulasi udara yang baik dengan taman yang luas, sangat cocok untuk hunian keluarga besar. Spesifikasi Utama:  Luas Tanah: 395 m²  Luas Bangunan: 200 m²  Sertifikat: Legalitas aman, terdiri dari 2 buah sertifikat (SHM dan HGB)  Kamar Tidur: 5 + 1  Kamar Mandi: 4  Hadap: Selatan (lebih adem karena tidak terpapar matahari langsung dari barat/timur)  Kondisi Interior: Kosongan (siap renovasi/dekor sesuai selera)   Fasilitas & Keunggulan:  Daya Listrik: 2200 Watt  Sumber Air: Jet Pump (bersih dan jernih)  Area Parkir: Garasi tersedia dan Car Port luas muat 2 mobil  Area Hijau: Memiliki 3 Taman dan 2 Void untuk sirkulasi udara maksimal  Dimensi: Lebar Muka 15 Meter (terlihat gagah dan luas)  Lingkungan & Aksesibilitas: Bebas Banjir: Lingkungan aman dan nyaman  Akses Jalan: Jalan depan luas, bisa dilewati 2 mobil   Akses Transportasi Publik: Halte TransJakarta Halte Masjid Bunyamin 850 Meter (3 Menit)  Halte TransJakarta Rawajati 1,5 Km (6 Menit) Stasiun Duren Tiga 2,6 Km (9 Menit)  Stasiun Pasar Minggu 3,4 Km (12 Menit)  Stasiun LRT Pancoran Barat & Cikoko 4,5 Km (16 Menit)  Dekat ke SDN dan Sekolah Swasta Dekat dengan RS Siloam & RS Brawijaya Dekat ke Plaza Kalibata dan The Pejaten  Park   Lokasi Strategis Lainnya:  650 Meter ke Jl. Raya Pasar Minggu  950 Meter ke Jl. Raya Warung Buncit  8 Menit ke Kantor Imigrasi Jakarta Selatan"
932355171,Rumah Bagus Siap Huni di Puri Bintaro Townhouse Bintaro Sektor 9,1850000000.0,-6.268,106.764,Jakarta D.K.I.,Jakarta Selatan,Pesanggrahan,92,84,3,2,https://www.lamudi.co.id/properti/41032-73-13e416a3f34-997d-197f7d4-a89e-7b28?i=AKYvjY4,rumah,,,For Sale :sektor 9 Bintaro Jaya  spesifikasi : Luas Tanah 84 m2 Luas Bangunan 92 m2 Kamar Tidur 3+1 Kamar Mandi 2+1 bangunan 2 Lantai  Garasi/carport 1 mobil  SHM
944064422,0401.23c jual apartemen lelang jakarta selatan di Mampang Prapatan di apartemen nirvana,16747000000.0,-6.282,106.802,Jakarta D.K.I.,Jakarta Selatan,Cilandak,595,0,3,2,https://www.lamudi.co.id/properti/41032-73-f353b1405ce4-cef1-19d2d16-ab65-7207?i=c-mrPw,apartemen,,18,"*Lelang Jakarta*(c) 22026B.0401.23c Apartemen Nirvana, Mampang Prapatan Luas Bangunan 595 SHMSRS, Cara Bayar Harus Cash Harga Normal 19,635 M Harga Lelang 14,61 M (26% OFF)  *Hanya bisa Lihat dari Luar* *(Tidak bisa lihat dalam)* *Sudah Termasuk Pengosongan, Pajak dan Biaya-biaya* *Belum Termasuk Kenaikan Bidding dan Tunggakan*  Segera Hubungi: YongWe Property"
944067864,Rumah 2 Kavling di Jl Cipete IX Lokasi Bagus,24000000000.0,-6.272,106.803,Jakarta D.K.I.,Jakarta Selatan,Cilandak,420,670,6,5,https://www.lamudi.co.id/properti/41032-73-e5773562ade9-d672-3e5061e1-b75a-4b7e?i=AOe-5Jk,rumah,,,"Dijual Rumah 2 Kavling dengan Lokasi Bagus di Jl Cipete IX    Total Luas 2 Tanah & Bangunan  Luas Tanah 670 m2  Luas bangunan 420 m2  SHGB sd thn 2031.    Terdiri dari:  Rumah besar Jl.Cipete IX/23   luas tanah 520m  luas bangunan 350m    Rumah kecil Jl. Cipete IX/ 23 A  Luas tanah 150 m²  Luas bangunan 70 m².    - Kedua rumah besar & kecil total Rp. 670 m2 dalam 1 sertifikat SHGB sd thn 2031 dijual sekaligus, atau di jual hanya rumah besar saja    Spec Rumah Besar :  4 kamar tidur +  2 kamar tidur pembantu   3 kamar mandi + 1 kamar mandi pembantu    Ruang tamu  Ruang keluarga  Ruang makan  Pantry    Teras depan & taman depan  Teras belakang & taman belakang ( luas cukup u/ dijadikan kolam renang)    Service area  Dapur  Garasi : 1 Mobil.    Spec Rumah Kecil :  2 kamar Tidur  2 kamar mandi  Ruang Tamu  Dapur  Carport : 1 Mobil    Negotiable"
945181046,RUMAH DIJUAL MURAH DI PONDOK INDAH JAKARTA SELATAN DEKAT MALL PIM,9900000000.0,-6.265,106.784,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Lama,310,260,7,6,https://www.lamudi.co.id/properti/41032-73-db760c7cc63b-3a83-19e1055-8af0-7647?i=ALwlwL0,rumah,"ac, garden, garasi",3,Turun Harga Rumah Dijual Murah di Pondok Indah Jakarta Selatan  SPESIFIKASI:  Bangunan 3 Lantai Luas Tanah: 260 m² Luas Bangunan: 310 m² Kamar Tidur: 4 + 3 Kamar Mandi: 5 + 1  Carport : 3 Mobil Listrik : 10.000 WATT Hadap: Timur SHM ROW Jalan Lebar   OPEN PRICE: 11 Miliar -> 9.9 Miliar (NEGO)  SELLING POINT:  - ±3 menit ke Stasiun MRT Fatmawati - ±5 menit ke RSUP Fatmawati - ±5–10 menit ke sekolah internasional area Cilandak & Pondok Indah - ±5 menit ke akses Tol JORR - ±7 menit ke Pondok Indah Mall & TB Simatupang   Dapatkan Best Deal Dan Hadiah Menarik Dengan Menghubungi :  Rifki Abdat S.S PT. Arbie Propertindo Konsultan
945181014,RUMAH DIJUAL MURAH DI PONDOK INDAH JAKARTA SELATAN DEKAT MALL PIM,9900000000.0,-6.265,106.784,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Lama,310,260,7,6,https://www.lamudi.co.id/properti/41032-73-52d13164c10c-59f0-19e1059-ba95-7436?i=ZbQEzw,rumah,"ac, garden, garasi",3,Turun Harga Rumah Dijual Murah di Pondok Indah Jakarta Selatan  SPESIFIKASI:  Bangunan 3 Lantai Luas Tanah: 260 m² Luas Bangunan: 310 m² Kamar Tidur: 4 + 3 Kamar Mandi: 5 + 1  Carport : 3 Mobil Listrik : 10.000 WATT Hadap: Timur SHM ROW Jalan Lebar   OPEN PRICE: 11 Miliar -> 9.9 Miliar (NEGO)  SELLING POINT:  - ±3 menit ke Stasiun MRT Fatmawati - ±5 menit ke RSUP Fatmawati - ±5–10 menit ke sekolah internasional area Cilandak & Pondok Indah - ±5 menit ke akses Tol JORR - ±7 menit ke Pondok Indah Mall & TB Simatupang   Dapatkan Best Deal Dan Hadiah Menarik Dengan Menghubungi :  TIA PT. Arbie Propertindo Konsultan
941911766,Dijual Rumah Mewah Bangunan Baru Lokasi Premium Kebayoran Baru,80000000000.0,-6.245,106.799,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Baru,800,700,4,4,https://www.lamudi.co.id/properti/41032-73-537040de4797-1883-19b682a-84c3-75ed?i=AMpZyLY,rumah,,2,For Sale Rumah mewah bangunan Baru Dilokasi premium kebayoran baru. JLN Brawijaya Jakarta selatan Semy Furnished Luas tanah 700 m2 Luas bangunan 800 m2 Bangunan 2 lantai Kamar tidur 4 Kamar mandi 4 Kamar asisten 2 Kamar mandi asisten 1 Pos Scurity Taman depan belakang Ruang tamu ruang keluarga Dapur bersih & dapur kotor Garasi 2 mobil Carport 6 mobil Jalan lebar tenang & rindang.(Sh) Dekat ke SCBD   Harga 80 M Nego  Bayu.
938855200,Dijual rumah mewah kolam renang di griya loka bsd city shm murah sg,4700000000.0,-6.268,106.764,Jakarta D.K.I.,Jakarta Selatan,Pesanggrahan,250,250,5,5,https://www.lamudi.co.id/properti/41032-73-b3fb993231cd-c36f-1995695-92ac-7715?i=AKVCr8o,rumah,garasi,,"(SP 0053) Griya Loka - LT 250 m2, LB 250 m2, Lantai 2,  KT 5+2, KM 5+1, Ruang Lain Swimming Pool, Listrik 3500 watt, Garasi 1, Carport 2, Surat SHM, IDR : 4,7 M (Nego)"
944067208,"Rumah jual murah di Radio Dalam, Kebayoran Baru, Jakarta Selatan",1600000000.0,-6.274,106.768,Jakarta D.K.I.,Jakarta Selatan,Pesanggrahan,85,0,3,3,https://www.lamudi.co.id/properti/41032-73-18d6043e9990-5bac-19d2d8d-8287-7854?i=F3YkhA,rumah,garasi,2,"Rumah jual murah di Radio Dalam, Kebayoran Baru, Jakarta Selatan  Luas Tanah 150 Luas Bangunan 85  Kamar Tidur 3 Kamar Mandi 3  Garasi 1 2 lantai  SHM  Akses dari gate 1 mobil. Tapi, rumah ini adalah rumah kedua dari gate  1.6M   HANYA 700 meter ke MRT Blok A 700 meter-an ke Blok M Square  For more detail, contact me!"
945180790,"super deal pangpol 10,5 m ajjaaaa ...",10700000000.0,-6.249,106.799,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Baru,200,341,1,1,https://www.lamudi.co.id/properti/41032-73-d29c5ab290dd-46e-19e104f-893b-7e61?i=JG_Q_g,rumah,,2,"SUPER DEAL PANGPOL - 10,7M AJA!  Rumah di Panglima Polim kawasan elit, tenang, dan super strategis dengan harga yang ""nggak masuk akal"" untuk lokasinya.  Detail Properti: Luas Tanah: 341 m 2 Luas Bangunan: 200 m 2 (2 lantai) Lebar depan: ±20 meter (rare banget!)  Lingkungan: Super tenang & private Area elit & premium Cocok untuk hunian eksklusif / investasi jangka panjang Highlight penting: Bentuk tanah memang tidak kotak, mengecil ke belakang(lihat gambar), tapi ini justru peluang buat desain rumah yang unik & maksimalin space Harga: 10,7 M (SUPER MURAH untuk area ini!) Transaksi LELANG : CASH ONLY (ASET SUDAH KOSONG)"
