ad_id,title,price,lat,lon,Provinsi,Kota/kabupaten,Kecamatan,Luas_bangunan,Luas_tanah,Kamar_tidur,Kamar_Mandi,parameter-external_source_url,Tipe,Fasilitas,Lantai,description
940853975,Dijual 3BR The Lavande Residences Furnished Rapih Best View City,1550000000.0,-6.236,106.843,Jakarta D.K.I.,Jakarta Selatan,Tebet,79,0,3,2,https://www.lamudi.co.id/properti/41032-73-71955c5dd835-3d00-198f5c8-aa17-746c?i=AORTaOs,apartemen,,29,"Dijual 3BR The Lavande Residences Furnished Lantai Tinggi Rapih Best View City  1.55 M nego     Saat ini Kami sedang mengelola 80 Unit yang sedang tersewa di The Lavande Residence. Tersedia saat ini 25 unit sewa dan juga terdapat 45 unit stock jual     Fasilitas di Apartemen The Lavande Residences:  1. Kolam Renang  2. Gym  3. Squash area  4. Children Playground  5. Mini Market (Indomaret dan Circle K)  6. Lounge di setiap tower (A, B, dan C)  7. Coffee shop Tatanggi  8. Honest Cafe (lobby utama)  9. ATM Center (BCA, BRI, BNI, Mandiri)  10. Laundry (Passion Laundry dn Hope Laundry)  11. Security & Engineering staf 24 Jam  12. Free Iuran Bulanan Parkir (1 mobil/ 1 motor, bisa pilih salah satu)  13. Free tv Cable     JAVAKITA PROPERTY  Kami agent resmi yang berkantor di Menara Bidakara 2 Annex Building Lt. 4 Jl. Gatot Subroto Kav. 71-73 Jakarta Selatan dan di Jl. Soepomo 231 tebet, Jakarta Selatan. Sangat fokus pada jual-beli-sewa properti sejak Th.2012. Bersertifikat Resmi Agent Kompeten Lembaga Sertifikasi Profesi AREA Indonesia. Saat ini Kami memiliki banyak stok listing properti baik jual maupun sewa. Menghubungi Kami adalah keputusan yang tepat, untuk kemudahan transaksi properti Anda."
944524430,"Rumah Baru 3 Lantai Modern Minimalis di Jakarta Selatan, DP 0% Cicilan Mulai 15 Jutaan",2900000000.0,-6.236,106.78,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Lama,160,114,5,4,https://www.lamudi.co.id/properti/41032-73-e52539737a71-30c8-19d7111-a84c-75e2?i=APUBCk8,rumah,"ac, swimmingpool, garden, garasi",3,"Perumahan berupa cluster eksklusif dengan sentuhan material kayu dan batu alam pada interiornya. Berlokasi di Petukangan, Jakarta Selatan, mempunyai desain bangunan yang super cantik, sehingga sangat nyaman untuk dijadikan rumah pribadi. Tak hanya itu, interiornya juga dirancang dengan estetika tinggi dengan material berkualitas yang tentunya cocok untuk jangka panjang.   Keunggulan utama dari Cluster ini adalah lokasinya yang strategis. Berlokasi di Jakarta Selatan membuat para penghuninya dapat menjangkau berbagai fasilitas dengan mudah, seperti akses menuju Universitas Mercubuana, SMA Al-Azhar 20, serta Gerbang Tol Joglo yang menghubungkan ke berbagai kota.   Dengan keunggulan lokasi dan desain yang eksklusif, Perumahan ini menjadi pilihan yang sangat ideal bagi mereka yang menginginkan hunian modern di kawasan ibu kota.  PROMO DAHSYAT 2026: CUKUP BOOKING FEE 20 JUTA, LANGSUNG AKAD & FREE PENGURUSAN BALIK NAMA SERTIFIKAT HAK MILIK (SHM)  PROMO MENARIK LAINNYA : DP 0% Cicilan mulai dari 16 Jutaan Free PPN Free BPHTB Free AJB Free Biaya Notaris Free Biaya KPR Free Biaya Balik Nama SHM Free Smart Doorlock Free Kitchen Set  Spesifikasi Unit : -TYPE B, 3 Lantai LB 160 m2 | LT 93 m2 5 kamar tidur, 4 kamar mandi 2 Carport, Listrik 2200VA -TYPE C, 3 Lantai LB 160 m2 | LT 100 m2 5 kamar tidur, 4 kamar mandi 2 Carport, Listrik 2200VA -TYPE D, 3 Lantai LB 118 m2 | LT 114 m2 4 kamar tidur, 4 kamar mandi 2 Carport, Listrik 2200VA  Akses Jalan & Transportasi Umum : 5 Menit ke Jalan Ciledug Raya & Pos Pengumben 5 Menit ke Pintu Tol Joglo 5 Menit ke Pintu Tol Ciledug 5 Menit ke Halte Busway Budiluhur 20 Menit ke Bandara Soekarno-Hatta   Akses Pusat Perbelanjaan & Lifestyle : 10 Menit ke ITC Cipulir 15 Menit ke Mall Senayan City 15 Menit ke Mall Gandaria City  Akses Fasilitas Kesehatan & Pendidikan :  5 Menit ke RS Sari Asih Ciledug 10 Menit ke RS Eka Hospital  5 Menit ke Universitas Budi Luhur  5 Menit ke Universitas Mercubuana  5 Menit ke SMP-SMA Al Azhar  Jangan lewatkan kesempatan ini, UNIT TERBATAS  Penasaran dengan program promo dan penawaran menarik diatas, segera hubungi KW Realty Team di kolom kontak atau whatsapp"
945120390,Dijual Apartemen Denpasar Residence Location In South Jakarta - 3Br Fully Furnished,3850000000.0,-6.216,106.811,Jakarta D.K.I.,Jakarta Pusat,Tanah Abang,135,0,3,2,https://www.lamudi.co.id/properti/41032-73-69963011be25-6b6a-19e02af-9637-7815?i=UUcOsA,apartemen,"ac, swimmingpool, garden, garasi",1,"Apartment Name: Denpasar Residence Location: Jl Prof. Dr. Satrio Kav. 18, Karet Kuningan Jakarta Selatan Tower/Floor/View:  Size: 135 m2 Bedroom: 3 Bathroom: 2 Condition: Furnished  Facility: Sports: Swimming pool, Jogging track, Tennis court, Sauna and Fitness Center. Daily Needs: Laundry, Library, Drug Store and Other Commercial Outlets Security: 24-hour Security, 24-hour CCTV, Access Card Elevator and Private Indoor parking Card Entertainment: Multifunction Room, Child Care, Kids Playground, BBQ and Picnic Area  Additional Info: Best location in Kuningan, South Jakarta. A very strategic location which became the heart of Central Business area in Jakarta (Thamrin, Kuningan, Sudirman). Easy access to avoid 3 in 1: Prof. Dr. Satrio Road, HR. Rasuna Said Street, K.H. Mas Mansyur Street, Mega Kuningan Ring Road. Walking Distance to: Mega Kuningan Central Business Distric Near Groceries Store (Lotte Mart) Banks and ATM Center (Mandiri, BTN, BNI, BRI, BII, OCBC NISP, BCA, etc)Close to The Shopping Mall (Kuningan City Mall, Ciputra Word - Lotte Avenue, ITC Kuningan, Mall Ambassador), Five-star and Luxurious Hotels (Manhattan, Ritz Carlton, JW Marriot, Four-Seasons, etc), Embassy Building (Russia, Malaysia, Poland, Finland, Denmark, etc.)  Selling Price : 3,850,000,000/Nego Cara Bayar: Hard Cash/KPA"
945120378,Dijual rumah lama terawat di Jl Puri Mutiara - Cipete - Jakarta Selatan,15300000000.0,-6.278,106.81,Jakarta D.K.I.,Jakarta Selatan,Cilandak,353,793,4,3,https://www.lamudi.co.id/properti/41032-73-88a0b87a3768-e75e-19e0221-b349-7210?i=AKdJWwg,rumah,,,Rumah Lama Terawat Jl. Puri Mutiara III - Cipete Selatan - Cilandak - Jakarta Selatan  Luas tanah :793 m2  Luas bangunan : 353 m2 Kamar Tidur : 4 Kamar Mandi : 3 Kamar Pembantu :2 Gudang :1 Parkir : 5  Swimming Pool Hadap Timur dan Selatan  *DI
945120335,Jual Rumah Luas di Jalan Gaharu cipete Cilandak Jakarta Selatan,17000000000.0,-6.279,106.803,Jakarta D.K.I.,Jakarta Selatan,Cilandak,550,654,6,5,https://www.lamudi.co.id/properti/41032-73-16f339cad729-4ae-19e02ae-943a-7512?i=AJdEte8,rumah,"garden, garasi",,"Dijual Rumah Luas di Jalan Gaharu Cilandak Jakarta Selatan  Luas Tanah : 654 m2 (17x38,5 m) Luas Bangunan : 550 m2 Kamar tidur : 6+1 Kamar Mandi : 5  Hadap Utara SHM on hand Listrik 3500 watt Garasi muat 5 Mobil  Harga 17 M nego  Keunggulan : - Suasana sejuk dan asri, dekat MRT Cipete, dekat kuliner Cipete Raya - Daerah dekat Citos Cilandak , Rs Fatmawati, Stasiun MRT dan jl. Raya Antasari  HUB : SALMAN O8I2 9OOO 6692  terima titip jual / sewa properti anda"
942970939,Rumah Mewah Hoek di Jl Kakak Tua 1 Bintaro Sek 1 Jaksel,13750000000.0,-6.271,106.757,Jakarta D.K.I.,Jakarta Selatan,Pesanggrahan,900,874,3,3,https://www.lamudi.co.id/properti/41032-73-b4f05e8279bc-dfa9-19c3c4b-bca4-7591?i=KE3mFA,rumah,,2,"Rumah Mewah Hoek di Jl Kakak Tua 1 Bintaro Sek 1 Jaksel - CASH ONLY   akan segera dilelang negara tgl 25 februari 2026!   Deskripsi [-] : - Legal : SHM - Luas Tanah : 874m2 - transaksi cash keras  - aset kredit macet bank - lokasi strategis - hadap tenggara - diluar fee, bidding & pengosongan - diluar pajak 9.1%  Jika anda berminat, Hubungi saya atau DM saya Secara langsung dan Sertai Juga Link Aset ini !"
945120286,Dijual Rumah Tua Perlu Renovasi Di Lingkungan Premium Pndok Indah,22000000000.0,-6.28,106.785,Jakarta D.K.I.,Jakarta Selatan,Cilandak,332,407,1,1,https://www.lamudi.co.id/properti/41032-73-6db78edbef8a-9b12-deb9d985-9953-4235?i=AIsxEGY,rumah,,,Dijual Rumah Tua Perlu Renovasi di lingkungan premium Pondok Indah . Lokasi nya bagus dan dekat lapangan Golf Luas tanah 407 Luas bangunan 332 Garasi 1 mobil Car port 2 mobil Ada taman depan dan belakang SHM - 1 lantai Harga : 22 M nego 16660-KAT-ID ID: 285120
938928053,"Jual rumah dekat Pondok Indah cocok untuk kantor, minimarket, dan kos.",8000000000.0,-6.279,106.795,Jakarta D.K.I.,Jakarta Selatan,Cilandak,400,300,4,2,https://www.lamudi.co.id/properti/41032-73-79ce36385827-62ae-199614b-98b0-7d30?i=NgVa2w,rumah,"garden, garasi",,"Dikelilingi sekolah sekolah dan sarana kesehatan.   Cocok untuk dijadikan kantor, kos, rumah makan, minimarket,  atau usaha lainnya.      LT.300m2  LB.400m2  KT.6  KM.4  Km ART .1 + km  Carport 1  PLN 2200w"
945120075,Dijual rumah di Jaksel dekat dengan fasilitas kesehatan,3000000000.0,-6.247,106.806,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Baru,110,91,2,3,https://www.lamudi.co.id/properti/41032-73-3d60df39d275-925-19e020a-89af-75c1?i=HeePug,rumah,,2,"Dijual rumah di Jaksel dekat dengan fasilitas kesehatan  Sepsifkasi rumah:  - SHM IMB - ⁠LT/LB 91/110 - ⁠posisi hook - ⁠hadap selatan - ⁠kamar tidur 2 - ⁠kamar mandi 3 - ⁠area service - ⁠innercourt cukup luas(bisa dibangun) - ⁠carport 2 mobil - ⁠air sumur - ⁠toren dan pendorong - ⁠lantai granit dan spc - ⁠sanitary toto - ⁠water heater (km master) - ⁠ac daikin inverter thai 3 unit - ⁠listrik 4400  Harga 3 m nego  Di Kebayoran Lama, Jakarta Selatan, daerah Cipulir/Petukangan Utara.  Dekat dengan:  1. Mall & Pusat Belanja - Gandaria City ±5-10 menit - Pondok Indah Mall 1 & 2 ±10-15 menit - ITC Cipulir deket banget, jalan kaki juga bisa - Dharmawangsa Square  2. Jalan Utama & Tol - Jl. Ciledug Raya - tinggal belok - Jl. Panjang & Arteri Pondok Indah - 5-10 menit ke Tol JORR via exit Kebayoran Lama/Ulujami - 10-15 menit ke Tol Simatupang  3. Kawasan   - Kebayoran Lama - pusat kecamatan - Pondok Indah - area elite Jaksel - Cipulir - sentra tekstil & pasar - Permata Hijau & Simprug deket  4. Fasilitas   - RS Pondok Indah ±15 menit - RS Medika Permata Hijau deket - Stasiun Kebayoran ±10 menit - Banyak sekolah, kampus, tempat makan Cipulir  posisinya strategis di *Jaksel Barat. Ke Pondok Indah, Gandaria, Senayan, Blok M semua gampang. Akses tol JORR bikin ke Bandara/Tangerang atau ke TB Simatupang juga cepet.  More Info Survey : Yeni Harcourts Realtindo"
945120071,"Rumah Luas di Pondok Indah, Dekat Mal PIM 3, Dan Dijual 35% Dibawah NJOP",28000000000.0,-6.279,106.78,Jakarta D.K.I.,Jakarta Selatan,Cilandak,300,1570,6,6,https://www.lamudi.co.id/properti/41032-73-e88573cc4fac-3fb4-19e01c2-95c9-77b4?i=VHNLDg,rumah,,,"Rumah Pondok Indah Di Lahan 1570 m2, Dekat Mal PIM 3, Dan Dijual 35% Dibawah NJOP. Lahan yang luas sangat cocok dijadikan Town House, Cluster, Kos2an eksklusif, Gudang, Kantor, dan lain-lain.  Spesifikasi Properti : - Luas Tanah 1570 m2 - Luas Bangunan 300 m2 - Legalitas: SHGB + Girik - Material Lantai keramik - Semi Furnished - Ruang Tamu - Ruang Keluarga - Ruang Makan - Kamar Tidur 6 - Kamar Mandi 6 - Teras - Gudang - Pekarangan - Carport 7 - Daya Listrik 8.800 Watt - Sumber Air Jetpump dan PAM  Aksesibilitas: - Dekat ke Mal PIM 3 - Dekat ke Permata Hijau - Dekat ke Jl. TB Simatupang   RWT/ AP"
